Treatment,0,18,36,24,48
100% RH,1.186363636,0.488529412,0.107297297,,
75% RH,1.186363636,0.156756757,0.116818182,,
100% RH + BF,1.686792453,0.263606557,0.329130435,,3
75% RH + BF,1.686792453,0.370535714,0.344,,0
100% RH + Recovery,2.271192661,1.416,0.349130435,,
75% RH + Recovery,2.271192661,1.151818182,0.6275,,
100% RH + BF+ Recovery,2.419111111,0.571746032,0.68125,,
75% RH + BF + Recovery,2.419111111,0.560153846,0.847692308,,
Recovery Only,0.891875,,,1.388787879,
BF + Recovery,2.397536232,,,1.668421053,1.175294118
BF + 100% RH,2.692758621,,,1.720344828,1.61
BF + 75% RH,2.692758621,,,1.801707317,1.429230769
100% RH,0.906875,0.45375,0.456,,
75% RH,0.906875,0.967272727,0.53875,,
100% RH + BF,0.764090909,0.54,0.782857143,,
75% RH + BF,0.764090909,1.0975,0.995,,
100% RH + Recovery,1.375,0.527142857,0.513333333,,
75% RH + Recovery,1.375,1.101666667,1.241666667,,
100% RH + BF+ Recovery,1.079411765,0.830625,1.023333333,,
75% RH + BF + Recovery,1.079411765,1.178333333,0.918,,
Recovery Only,0.906875,,,0.783571429,0.73
BF + Recovery,1.375,,,1.058095238,1.113846154
